ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
539001.OF,20230421,20230331,1.6172,1.6172,,69685598.79,123785874.77,1.6172,1
539001.OF,20230120,20221231,1.3688,1.3688,,51789112.43,106242961.14,1.3688,1
013139.OF,20230422,20230331,0.9809,0.9809,,52402500.2,52847474.22,0.9809,1
013139.OF,20230120,20221231,0.9661,0.9661,,50180477.36,50427617.25,0.9661,1
012509.OF,20230422,20230331,1.0113,1.0113,,3607951222.27,3626572165.45,1.0113,1
012509.OF,20230120,20221231,0.9931,0.9931,,4657755534.69,4667228149.9,0.9931,1
013260.OF,20230421,20230331,0.9931,0.9931,,587790246.29,716465679.32,0.9931,1
013260.OF,20230120,20221231,0.9739,0.9739,,612475492.1,740232951.3,0.9739,1
013417.OF,20230422,20230331,0.8186,0.8186,,668428400.86,705119175.81,0.8186,1
013417.OF,20230120,20221231,0.8351,0.8351,,695526577.92,733569832.54,0.8351,1
011681.OF,20230421,20230331,0.8723,0.8723,,149877502.2,161223296.78,0.8723,1
011681.OF,20230120,20221231,0.8887,0.8887,,156418779.72,168305370.66,0.8887,1
011921.OF,20230421,20230331,0.8116,0.8116,,690881544.21,740680684.01,0.8116,1
011921.OF,20230120,20221231,0.7772,0.7772,,659001014.48,706326727.14,0.7772,1
012943.OF,20230421,20230331,1.0127,1.0127,,1553363157.54,2938846249.73,1.0127,1
012943.OF,20230120,20221231,0.9827,0.9827,,1999756471.32,3837066258.41,0.9827,1
011731.OF,20230420,20230331,0.9464,0.9464,,47825316.42,57933950.53,0.9464,1
011731.OF,20230119,20221231,0.9259,0.9259,,46789808.68,56681855.84,0.9259,1
012498.OF,20230421,20230331,0.911,0.911,,79761261.89,102347933.19,0.911,1
012498.OF,20230120,20221231,0.8564,0.8564,,77395645.02,99653345.03,0.8564,1
013445.OF,20230421,20230331,0.8121,0.8121,,139760964.08,310884536.19,0.8121,1
013445.OF,20230120,20221231,0.6818,0.6818,,115799365.42,251857022.58,0.6818,1
012045.OF,20230421,20230331,0.7425,0.7425,,202051704.9,226189042.75,0.7425,1
012045.OF,20230118,20221231,0.7468,0.7468,,204115973.75,230651260.6,0.7468,1
012113.OF,20230421,20230331,1.0397,1.0397,,224153612.73,238937599.6,1.0397,1
012113.OF,20230120,20221231,1.0087,1.0087,,316112262.89,342191075.22,1.0087,1
011771.OF,20230422,20230331,1.0192,1.0192,,50942847.76,50944993.21,1.0192,1
011771.OF,20230120,20221231,1.004,1.004,,50179714.5,50182924.99,1.004,1
011481.OF,20230421,20230331,0.7431,0.7431,,241337407.18,241337407.18,0.7431,1
011481.OF,20230120,20221231,0.8092,0.8092,,262780036.21,262780036.21,0.8092,1
011748.OF,20230422,20230331,0.7492,0.7492,,218014963.38,226832403.53,0.7492,1
011748.OF,20230120,20221231,0.7478,0.7478,,222175691.03,231367760.63,0.7478,1
011427.OF,20230421,20230331,0.9817,0.9817,,288836330.2,329865651.41,0.9817,1
011427.OF,20230120,20221231,0.9227,0.9227,,279631668.48,324201910.33,0.9227,1
013395.OF,20230421,20230331,0.9008,0.9008,,572554999.85,1121355195.44,0.9008,1
013395.OF,20230120,20221231,0.9017,0.9017,,649956014.87,1525819425.81,0.9017,1
012776.OF,20230421,20230331,1.0014,1.0014,,1134776895.27,1458832871.51,1.0014,1
012776.OF,20230120,20221231,0.9871,0.9871,,1287495723.08,1655195722.79,0.9871,1
012888.OF,20230421,20230331,0.761,0.761,,1639286817.59,1812342772.46,0.761,1
012888.OF,20230120,20221231,0.7631,0.7631,,1710404225.65,1891950174.53,0.7631,1
013147.OF,20230421,20230331,0.6962,0.6962,,2327685691.13,2831155291.51,0.6962,1
013147.OF,20230120,20221231,0.743,0.743,,2511870734.93,3002749840.2,0.743,1
012971.OF,20230421,20230331,0.971,0.971,,83828108.16,107549398.35,0.971,1
012971.OF,20230120,20221231,0.9303,0.9303,,85944361.72,111607953.46,0.9303,1
013171.OF,20230421,20230331,0.7282,0.7282,,646067816.44,1209189678.06,0.7282,1
013171.OF,20230120,20221231,0.7303,0.7303,,518838451.87,1018444762.82,0.7303,1
011872.OF,20230422,20230331,1.01,1.01,,904779365.96,911540220.29,1.01,1
011872.OF,20230120,20221231,0.9906,0.9906,,1065900210.82,1073536432.6,0.9906,1
011554.OF,20230422,20230331,1.0685,1.0685,,58514154.56,71799605.53,1.0685,1
011554.OF,20230121,20221231,1.0269,1.0269,,80937466.21,92507108.07,1.0269,1
012953.OF,20230422,20230331,1.0765,1.0765,,633540454.38,922910355.19,1.0765,1
012953.OF,20230120,20221231,1.047,1.047,,590366210.64,1110421798.88,1.047,1
011249.OF,20230421,20230331,1.0299,1.0299,,51858004.85,52509153.88,1.0299,1
011249.OF,20230120,20221231,1.0167,1.0167,,51344398.42,52237692.57,1.0167,1
011788.OF,20230421,20230331,0.9713,0.9713,,63102430.23,63134633.12,0.9713,1
011788.OF,20230120,20221231,0.9672,0.9672,,84200177.73,84229962.92,0.9672,1
012190.OF,20230421,20230331,0.9731,0.9731,,3048348570.57,3051860913.76,0.9731,1
012190.OF,20230120,20221231,0.9561,0.9561,,3229282903.81,3231099143.66,0.9561,1
012406.OF,20230421,20230331,0.5976,0.5976,,3531446871.2,3838813854.5,0.5976,1
012406.OF,20230120,20221231,0.6397,0.6397,,3990986673.24,4346801631.41,0.6397,1
013189.OF,20230421,20230331,1.0139,1.0139,,1769334859.11,1769334859.11,1.0139,1
013189.OF,20230120,20221231,0.9795,0.9795,,2346110423.4,2346110423.4,0.9795,1
012198.OF,20230421,20230331,0.8348,0.8348,,98357650.99,146219467.35,0.8348,1
012198.OF,20230119,20221231,0.8766,0.8766,,115621283.4,168063405.67,0.8766,1
012223.OF,20230420,20230331,0.6403,0.6403,,910268218.91,1394258995.17,0.6403,1
012223.OF,20230118,20221231,0.7063,0.7063,,1049956476.04,1584240760.03,0.7063,1
011793.OF,20230421,20230331,0.7933,0.7933,,479154801.94,479154801.94,0.7933,1
011793.OF,20230120,20221231,0.8016,0.8016,,488206890.57,488206890.57,0.8016,1
110011.OF,20230421,20230331,6.1737,7.9637,,18971336683.8,18971336683.8,8.56648783,1
110011.OF,20230120,20221231,6.1271,7.9171,,18933594862.96,18933594862.96,8.50182671,1
012143.OF,20230421,20230331,0.6846,0.6846,,18258326.33,22305245.02,0.6846,1
012143.OF,20230120,20221231,0.6528,0.6528,,19850935.68,23965762.82,0.6528,1
012645.OF,20230421,20230331,0.7815,0.7815,,19313066.76,43274062.2,0.7815,1
012645.OF,20230120,20221231,0.752,0.752,,14033107.55,38367852.84,0.752,1
013041.OF,20230422,20230331,1.0077,1.0077,,953122087.51,1028597869.58,1.0077,1
013041.OF,20230120,20221231,0.9809,0.9809,,1189809444.12,1277583801.64,0.9809,1
013013.OF,20230421,20230331,0.6855,0.6855,,114683478.71,208688607.54,0.6855,1
013013.OF,20230120,20221231,0.703,0.703,,111913836.39,186155523.83,0.703,1
012979.OF,20230421,20230331,0.7279,0.7279,,55909337.09,208854607.85,0.7279,1
012979.OF,20230118,20221231,0.7119,0.7119,,50655283.37,130534028.61,0.7119,1
012712.OF,20230421,20230331,0.9635,0.9635,,13624671.79,17715457.29,0.9635,1
012712.OF,20230120,20221231,0.9363,0.9363,,13538230.51,17820195.14,0.9363,1
013067.OF,20230421,20230331,0.8772,0.8772,,206425157.62,206425157.62,0.8772,1
013067.OF,20230120,20221231,0.8503,0.8503,,208918325.03,208918325.03,0.8503,1
011600.OF,20230420,20230331,0.9774,0.9774,,402402624.32,402402624.32,0.9774,1
011600.OF,20230120,20221231,0.9628,0.9628,,428079603.53,428079603.53,0.9628,1
013055.OF,20230421,20230331,0.6079,0.6079,,7660673.64,8202015.85,0.6079,1
013055.OF,20230120,20221231,0.6137,0.6137,,7757998.28,8080129.26,0.6137,1
013250.OF,20230421,20230331,0.8368,0.8368,,132994831.75,132994831.75,0.8368,1
013250.OF,20230120,20221231,0.7854,0.7854,,119173833.8,119173833.8,0.7854,1
013441.OF,20230421,20230331,0.6919,0.6919,,52863899.89,52863899.89,0.6919,1
013441.OF,20230120,20221231,0.7468,0.7468,,57057515.27,57057515.27,0.7468,1
012701.OF,20230421,20230331,1.0696,1.0696,,446980299.61,1731248663.17,1.0696,1
012701.OF,20230119,20221231,1.0649,1.0649,,364580130.59,1401043180.64,1.0649,1
012456.OF,20230422,20230331,0.6344,0.6344,,462402569.57,551329821.83,0.6344,1
012456.OF,20230120,20221231,0.6844,0.6844,,525992359.61,607399630.41,0.6844,1
013426.OF,20230421,20230331,0.7674,0.7674,,3520642496.15,4077390985.43,0.7674,1
013426.OF,20230120,20221231,0.8003,0.8003,,3791437467.84,4405240504.8,0.8003,1
013123.OF,20230421,20230331,0.8682,0.8682,,553263048.01,579990577.14,0.8682,1
013123.OF,20230120,20221231,0.8461,0.8461,,558356480.07,585450666.86,0.8461,1
013004.OF,20230422,20230331,0.8335,0.8335,,666554331.82,695006746.69,0.8335,1
013004.OF,20230120,20221231,0.8354,0.8354,,679803162.75,708792943.17,0.8354,1
013200.OF,20230422,20230331,0.9864,0.9864,,605255344.22,664443139.14,0.9864,1
013200.OF,20230120,20221231,0.9765,0.9765,,677200441.26,742870110.19,0.9765,1
012373.OF,20230421,20230331,0.8528,0.8528,,848050989.24,1362104946.79,0.8528,1
012373.OF,20230120,20221231,0.8009,0.8009,,825321962.14,1348381391.83,0.8009,1
012308.OF,20230422,20230331,0.8841,0.8841,,167627895.85,177514895.23,0.8841,1
012308.OF,20230120,20221231,0.8563,0.8563,,162363212.16,171953865.02,0.8563,1
011576.OF,20230421,20230331,1.0038,1.0038,,426617074.39,438070170.52,1.0038,1
011576.OF,20230120,20221231,0.9934,0.9934,,489111169.33,501185512.67,0.9934,1
012821.OF,20230421,20230331,1.019,1.019,,918401707.47,918637285.49,1.019,1
012821.OF,20230120,20221231,1.0076,1.0076,,1334645928.67,1334931745.63,1.0076,1
013177.OF,20230423,20230331,0.8077,0.8077,,16045532.38,18405137.11,0.8077,1
013177.OF,20230119,20221231,0.7581,0.7581,,15855098.9,18576957.52,0.7581,1
011781.OF,20230421,20230331,0.9512,0.9512,,238554034.55,238737147.85,0.9512,1
011781.OF,20230119,20221231,0.9509,0.9509,,592114538.38,592248709.39,0.9509,1
013085.OF,20230421,20230331,0.827,0.827,,991133202.9,1108923809.59,0.827,1
013085.OF,20230120,20221231,0.7919,0.7919,,975406705.6,1085021251.35,0.7919,1
010965.OF,20230421,20230331,0.9921,0.9921,,409442087.17,481061054.57,0.9921,1
010965.OF,20230120,20221231,0.9191,0.9191,,323828817.26,392773372.03,0.9191,1
013220.OF,20230422,20230331,0.9384,0.9384,,3178746725.59,4547529490.86,0.9384,1
013220.OF,20230120,20221231,0.9636,0.9636,,3658175287.56,5268306984.92,0.9636,1
011050.OF,20230423,20230331,1.0379,1.0379,,105430405.12,129560943.53,1.0379,1
011050.OF,20230128,20221231,1.0078,1.0078,,139490596.42,175134764.74,1.0078,1
011568.OF,20230421,20230331,0.8333,0.8333,,1578242858.48,1602669696.8,0.8333,1
011568.OF,20230120,20221231,0.8532,0.8532,,1683848437.21,1711080785.61,0.8532,1
008317.OF,20230421,20230331,0.789,0.789,,1224749294.28,1224749294.28,0.789,1
008317.OF,20230120,20221231,0.7591,0.7591,,1218001984.0,1218001984.0,0.7591,1
012681.OF,20230421,20230331,0.984,0.984,,94691617.86,114384815.82,0.984,1
012681.OF,20230120,20221231,0.9852,0.9852,,54678469.66,60661879.0,0.9852,1
012987.OF,20230424,20230331,0.8705,0.8705,,208998570.7,538357733.44,0.8705,1
012987.OF,20230120,20221231,0.8354,0.8354,,207710373.26,533791096.71,0.8354,1
012667.OF,20230421,20230331,0.9869,0.9869,,359786238.89,436396282.87,0.9869,1
012667.OF,20230120,20221231,0.982,0.982,,413316953.47,503374382.22,0.982,1
013105.OF,20230421,20230331,0.7596,0.7596,,40254843.56,142461745.35,0.7596,1
013105.OF,20230120,20221231,0.7784,0.7784,,41232069.82,135062081.19,0.7784,1
012071.OF,20230421,20230331,1.0062,1.0062,,147952381.4,312416032.73,1.0062,1
012071.OF,20230120,20221231,0.9719,0.9719,,182257760.59,383509959.73,0.9719,1
012598.OF,20230421,20230331,0.6404,0.6404,,20938191.51,53432063.64,0.6404,1
012598.OF,20230120,20221231,0.6824,0.6824,,22686604.84,66751154.97,0.6824,1
013437.OF,20230421,20230331,0.7772,0.7772,,18862640.8,33413418.72,0.7772,1
013437.OF,20230120,20221231,0.7402,0.7402,,11205286.71,21636180.69,0.7402,1
013049.OF,20230421,20230331,0.8056,0.8056,,433580531.44,845797744.2,0.8056,1
013049.OF,20230120,20221231,0.7657,0.7657,,419522668.82,978095474.81,0.7657,1
013006.OF,20230421,20230331,0.6631,0.6631,,1858596582.71,1948630432.32,0.6631,1
013006.OF,20230120,20221231,0.7034,0.7034,,2082453590.92,2180288633.0,0.7034,1
012401.OF,20230423,20230331,0.844,0.844,,47863788.13,118749959.38,0.844,1
012401.OF,20230128,20221231,0.8197,0.8197,,46333723.31,114324166.25,0.8197,1
013141.OF,20230420,20230331,0.9061,0.9061,,2088771216.1,2090531981.34,0.9061,1
013141.OF,20230117,20221231,0.7911,0.7911,,1859957016.43,1862287276.27,0.7911,1
012852.OF,20230421,20230331,0.6856,0.6856,,1822590284.92,1953200616.6,0.6856,1
012852.OF,20230120,20221231,0.6926,0.6926,,1890408668.13,2026705475.55,0.6926,1
012768.OF,20230421,20230331,1.2872,1.2872,,335265722.78,762015364.38,1.2872,1
012768.OF,20230120,20221231,0.8223,0.8223,,114847021.54,255218333.59,0.8223,1
012299.OF,20230422,20230331,0.9685,0.9685,,531297020.11,544631348.09,0.9685,1
012299.OF,20230120,20221231,0.9634,0.9634,,602031666.41,616799323.54,0.9634,1
012294.OF,20230421,20230331,0.814,0.814,,509674273.07,509674273.07,0.814,1
012294.OF,20230119,20221231,0.788,0.788,,492023307.17,492023307.17,0.788,1
013028.OF,20230417,20230331,0.4429,0.4429,,123839768.63,123839768.63,0.4429,1
013028.OF,20230120,20221231,0.449,0.449,,124813345.65,124813345.65,0.449,1
012346.OF,20230421,20230331,0.8877,0.8877,,2602714826.78,3520765994.48,0.8877,1
012346.OF,20230120,20221231,0.9247,0.9247,,3088136293.88,5243480339.37,0.9247,1
012272.OF,20230422,20230331,0.7477,0.7477,,87305098.48,87305098.48,0.7477,1
012272.OF,20230120,20221231,0.7415,0.7415,,89403706.8,89403706.8,0.7415,1
011690.OF,20230421,20230331,0.7938,0.7938,,594175029.78,606657557.14,0.7938,1
011690.OF,20230118,20221231,0.7934,0.7934,,606540304.4,618606796.75,0.7934,1
013022.OF,20230422,20230331,0.8904,0.8904,,52782385.1,52782385.1,0.8904,1
013022.OF,20230120,20221231,0.8807,0.8807,,12502472.66,12502472.66,0.8807,1
012526.OF,20230421,20230331,0.7176,0.7176,,2282775688.25,2414573287.09,0.7176,1
012526.OF,20230120,20221231,0.7448,0.7448,,2399864986.96,2514288305.19,0.7448,1
012477.OF,20230421,20230331,0.8775,0.8775,,1157078839.15,1225791381.76,0.8775,1
012477.OF,20230120,20221231,0.7755,0.7755,,1044531168.43,1108358895.17,0.7755,1
012496.OF,20230420,20230331,0.6595,0.6595,,59322449.49,78842127.81,0.6595,1
012496.OF,20230120,20221231,0.5591,0.5591,,53153805.32,70584229.5,0.5591,1
970023.OF,20230421,20230331,0.8541,0.8541,,123637290.64,123637290.64,0.8541,1
970023.OF,20230119,20221231,0.8425,0.8425,,121957045.57,121957045.57,0.8425,1
013061.OF,20230422,20230331,0.914,0.914,,14555217.81,14555217.81,0.914,1
013061.OF,20230120,20221231,0.8852,0.8852,,14015940.86,14015940.86,0.8852,1
013043.OF,20230422,20230331,0.8921,0.8921,,10314769.68,10314769.68,0.8921,1
013043.OF,20230120,20221231,0.8793,0.8793,,10031170.8,10031170.8,0.8793,1
012234.OF,20230421,20230331,0.7903,0.7903,,1820369453.84,2013741308.29,0.7903,1
012234.OF,20230120,20221231,0.8211,0.8211,,1968580238.3,2176472735.43,0.8211,1
012996.OF,20230422,20230331,0.9164,0.9164,,13948441.8,13948441.8,0.9164,1
012996.OF,20230120,20221231,0.9081,0.9081,,13803505.64,13803505.64,0.9081,1
013195.OF,20230421,20230331,0.6935,0.6935,,166325347.73,681497288.55,0.6935,1
013195.OF,20230118,20221231,0.7102,0.7102,,143280522.72,529428643.72,0.7102,1
012826.OF,20230421,20230331,0.9989,0.9989,,1176790359.54,1220232018.53,0.9989,1
012826.OF,20230120,20221231,0.9814,0.9814,,873923290.3,932616369.72,0.9814,1
012193.OF,20230421,20230331,0.8025,0.8025,,1220988055.57,1327708639.64,0.8025,1
012193.OF,20230119,20221231,0.8131,0.8131,,1273429100.28,1384460965.97,0.8131,1
012967.OF,20230421,20230331,0.6813,0.6813,,10118239717.18,11085645261.31,0.6813,1
012967.OF,20230120,20221231,0.7418,0.7418,,10974620309.88,12010721413.24,0.7418,1
013317.OF,20230423,20230331,0.7398,0.7398,,79937875.76,129506736.47,0.7398,1
013317.OF,20230119,20221231,0.7243,0.7243,,76426194.41,113235853.24,0.7243,1
013162.OF,20230421,20230331,0.7737,0.7737,,12245087.17,22442864.08,0.7737,1
013162.OF,20230120,20221231,0.7245,0.7245,,11126420.89,16876092.29,0.7245,1
011934.OF,20230421,20230331,0.8756,0.8756,,64879432.87,244751167.28,0.8756,1
011934.OF,20230120,20221231,0.8497,0.8497,,65606709.3,248668163.5,0.8497,1
010931.OF,20230422,20230331,1.0272,1.0272,,193572795.43,193599261.27,1.0272,1
010931.OF,20230120,20221231,1.005,1.005,,189435509.92,196995759.62,1.005,1
013422.OF,20230421,20230331,0.7839,0.7839,,627092377.66,627092377.66,0.7839,1
013422.OF,20230120,20221231,0.7493,0.7493,,599473737.34,599473737.34,0.7493,1
013414.OF,20230421,20230331,0.9641,0.9641,,964053523.85,964053523.85,0.9641,1
013414.OF,20230120,20221231,0.8837,0.8837,,883685311.7,883685311.7,0.8837,1
013306.OF,20230422,20230331,0.7607,0.7607,,22529106.92,46288344.9,0.7607,1
013306.OF,20230120,20221231,0.7408,0.7408,,15680426.24,29476530.64,0.7408,1
012354.OF,20230422,20230331,0.7518,0.7518,,999293306.24,1236727523.4,0.7518,1
012354.OF,20230120,20221231,0.8506,0.8506,,1128063870.27,1481010635.64,0.8506,1
013209.OF,20230421,20230331,0.7801,0.7801,,93822326.14,198451878.29,0.7801,1
013209.OF,20230120,20221231,0.7661,0.7661,,94345986.42,200175862.05,0.7661,1
012640.OF,20230421,20230331,1.0252,1.0252,,204620742.24,215398964.78,1.0252,1
012640.OF,20230120,20221231,0.9442,0.9442,,264937861.42,274695561.26,0.9442,1
012985.OF,20230422,20230331,0.7389,0.7389,,1181050345.45,1290707562.35,0.7389,1
012985.OF,20230120,20221231,0.7182,0.7182,,1227487989.6,1340862332.72,0.7182,1
011349.OF,20230424,20230331,0.9704,0.9704,,251268800.42,309021507.94,0.9704,1
011349.OF,20230120,20221231,0.8912,0.8912,,240602540.59,297854580.37,0.8912,1
011813.OF,20230421,20230331,0.7051,0.7051,,598199242.9,603776954.21,0.7051,1
011813.OF,20230120,20221231,0.6976,0.6976,,619685738.87,625190447.95,0.6976,1
012377.OF,20230422,20230331,1.0102,1.0102,,166589272.44,173140775.43,1.0102,1
012377.OF,20230120,20221231,0.9986,0.9986,,187782712.21,195032166.13,0.9986,1
013315.OF,20230421,20230331,0.701,0.701,,80069034.61,182677637.02,0.701,1
013315.OF,20230120,20221231,0.6869,0.6869,,75762790.7,124431039.21,0.6869,1
013021.OF,20230421,20230331,0.7888,0.7888,,2733879998.61,2733879998.61,0.7888,1
013021.OF,20230120,20221231,0.807,0.807,,3146148247.48,3146148247.48,0.807,1
011930.OF,20230421,20230331,0.8852,0.8852,,1815492247.01,2193089815.88,0.8852,1
011930.OF,20230120,20221231,0.8559,0.8559,,1818125255.94,2199399535.25,0.8559,1
012969.OF,20230421,20230331,0.7294,0.7294,,79589253.13,1046661373.3,0.7294,1
012969.OF,20230120,20221231,0.6427,0.6427,,58056107.11,795555345.42,0.6427,1
011605.OF,20230421,20230331,0.992,0.992,,3401266290.3,4887854158.36,0.992,1
011605.OF,20230119,20221231,0.9746,0.9746,,3649688965.34,5261126051.21,0.9746,1
011729.OF,20230421,20230331,0.9471,0.9471,,84219855.53,84373560.59,0.9471,1
011729.OF,20230120,20221231,0.9819,0.9819,,115194277.35,115369991.33,0.9819,1
013103.OF,20230422,20230331,0.6885,0.6885,,194362458.51,404812297.3,0.6885,1
013103.OF,20230120,20221231,0.733,0.733,,200453838.92,420563419.42,0.733,1
013313.OF,20230421,20230331,0.7349,0.7349,,307914672.37,463746710.62,0.7349,1
013313.OF,20230120,20221231,0.7188,0.7188,,297711060.69,408451439.08,0.7188,1
013310.OF,20230421,20230331,0.7162,0.7162,,440205072.73,607693386.4,0.7162,1
013310.OF,20230120,20221231,0.702,0.702,,419014690.24,536617610.45,0.702,1
012831.OF,20230422,20230331,0.7273,0.7273,,206750914.29,570298857.69,0.7273,1
012831.OF,20230120,20221231,0.7496,0.7496,,145422040.53,336058523.68,0.7496,1
013287.OF,20230421,20230331,0.9282,0.9282,,1531774846.74,1634818492.52,0.9282,1
013287.OF,20230120,20221231,0.8962,0.8962,,1519457364.75,1628935891.46,0.8962,1
013302.OF,20230421,20230331,0.7489,0.7489,,88565528.15,217184599.46,0.7489,1
013302.OF,20230118,20221231,0.7331,0.7331,,64767069.17,150053020.97,0.7331,1
012690.OF,20230421,20230331,0.9453,0.9453,,743602001.69,1267234518.42,0.9453,1
012690.OF,20230120,20221231,0.8562,0.8562,,582035136.09,632376013.04,0.8562,1
012500.OF,20230422,20230331,0.7917,0.7917,,524950190.29,563511634.61,0.7917,1
012500.OF,20230120,20221231,0.7706,0.7706,,545920810.38,583678837.78,0.7706,1
013304.OF,20230421,20230331,0.7358,0.7358,,1366125983.2,1712669764.3,0.7358,1
013304.OF,20230120,20221231,0.7205,0.7205,,1264485492.98,1548888544.0,0.7205,1
012917.OF,20230421,20230331,0.7693,0.7693,,668184525.01,675735603.35,0.7693,1
012917.OF,20230119,20221231,0.7512,0.7512,,672246784.74,680247686.41,0.7512,1
012130.OF,20230421,20230331,0.8247,0.8247,,2009020104.04,2165354458.32,0.8247,1
012130.OF,20230120,20221231,0.7496,0.7496,,1868778274.39,2016199830.19,0.7496,1
970041.OF,20230421,20230331,1.8083,1.9426,,46792194.35,733146946.41,2.70868181,1
970041.OF,20230128,20221231,1.6801,1.8144,,49530594.81,741026045.18,2.51664896,1
012389.OF,20230420,20230331,0.7507,0.7507,,1545916439.52,1545916439.52,0.7507,1
012389.OF,20230118,20221231,0.7625,0.7625,,1619994798.7,1619994798.7,0.7625,1
013135.OF,20230421,20230331,0.9827,0.9827,,9867316.31,9867316.31,0.9827,1
013135.OF,20230119,20221231,0.9684,0.9684,,9724612.63,9724612.63,0.9684,1
012930.OF,20230414,20230331,1.2569,1.2569,,9341703939.91,9341703939.91,1.2569,1
012930.OF,20230114,20221231,1.0794,1.0794,,6870588466.99,6870588466.99,1.0794,1
012743.OF,20230421,20230331,0.9883,0.9883,,683331412.61,688929817.37,0.9883,1
012743.OF,20230120,20221231,0.9685,0.9685,,735963141.88,736986229.91,0.9685,1
012576.OF,20230421,20230331,0.9527,0.9527,,679069038.6,1717786091.23,0.9527,1
012576.OF,20230120,20221231,0.9308,0.9308,,709624906.65,1805060890.39,0.9308,1
012003.OF,20230421,20230331,0.8018,0.8018,,824254601.99,1122050739.91,0.8018,1
012003.OF,20230118,20221231,0.8032,0.8032,,864031668.18,1178779187.96,0.8032,1
013298.OF,20230422,20230331,0.7296,0.7296,,222963050.41,480286815.74,0.7296,1
013298.OF,20230120,20221231,0.7145,0.7145,,196114568.3,364420759.1,0.7145,1
011977.OF,20230422,20230331,0.9215,0.9215,,204983166.63,228391516.81,0.9215,1
011977.OF,20230121,20221231,0.9096,0.9096,,210291304.69,234498524.61,0.9096,1
011936.OF,20230421,20230331,0.7668,0.7668,,376742106.21,398129107.38,0.7668,1
011936.OF,20230120,20221231,0.7437,0.7437,,372113420.29,393209758.48,0.7437,1
012839.OF,20230421,20230331,0.7914,0.7914,,3145397311.06,3216001494.15,0.7914,1
012839.OF,20230120,20221231,0.7624,0.7624,,3028805082.01,3096677807.35,0.7624,1
011224.OF,20230421,20230331,0.8239,0.8239,,36266007.22,65780575.93,0.8239,1
011224.OF,20230120,20221231,0.79,0.79,,37059728.55,67463459.8,0.79,1
011924.OF,20230421,20230331,0.7364,0.7364,,239935343.24,504465107.88,0.7364,1
011924.OF,20230120,20221231,0.7411,0.7411,,178939358.07,293423542.75,0.7411,1
011876.OF,20230421,20230331,0.7739,0.7739,,234560124.84,318134271.69,0.7739,1
011876.OF,20230120,20221231,0.7523,0.7523,,234129476.32,356900242.81,0.7523,1
012543.OF,20230421,20230331,0.6834,0.6834,,62652089.57,700459636.98,0.6834,1
012543.OF,20230120,20221231,0.6973,0.6973,,56169086.14,410104258.51,0.6973,1
011839.OF,20230423,20230331,0.9545,0.9545,,83854494.68,355378093.79,0.9545,1
011839.OF,20230128,20221231,0.696,0.696,,15235407.63,60752928.99,0.696,1
011192.OF,20230421,20230331,1.0565,1.0565,,104612416.44,109033426.92,1.0565,1
011192.OF,20230120,20221231,1.0102,1.0102,,126689162.75,132439633.09,1.0102,1
012675.OF,20230422,20230331,0.8991,0.8991,,113017754.97,133296490.57,0.8991,1
012675.OF,20230119,20221231,0.898,0.898,,124193291.04,146874862.49,0.898,1
012846.OF,20230417,20230331,0.8798,0.8798,,621276444.31,621276444.31,0.8798,1
012846.OF,20230120,20221231,0.8552,0.8552,,590324030.38,590324030.38,0.8552,1
011523.OF,20230422,20230331,0.6716,0.6716,,59169939.36,94677810.84,0.6716,1
011523.OF,20230128,20221231,0.672,0.672,,60287862.45,96106365.8,0.672,1
012820.OF,20230421,20230331,0.8451,0.8451,,2933359093.03,2933359093.03,0.8451,1
012820.OF,20230120,20221231,0.8101,0.8101,,2931633008.42,2931633008.42,0.8101,1
011798.OF,20230421,20230331,0.9813,0.9813,,41598397.35,80332772.98,0.9813,1
011798.OF,20230120,20221231,0.9624,0.9624,,42547115.38,83271809.2,0.9624,1
012885.OF,20230421,20230331,0.7984,0.7984,,236541805.08,462210778.3,0.7984,1
012885.OF,20230120,20221231,0.816,0.816,,210853068.51,392901387.62,0.816,1
012067.OF,20230421,20230331,0.8627,0.8627,,1993739844.7,2029529938.05,0.8627,1
012067.OF,20230120,20221231,0.8508,0.8508,,2017828223.03,2054532126.5,0.8508,1
012844.OF,20230421,20230331,0.7753,0.7753,,840871369.19,1026597886.27,0.7753,1
012844.OF,20230120,20221231,0.7846,0.7846,,884956329.59,1086097532.82,0.7846,1
012679.OF,20230422,20230331,0.7832,0.7832,,420189270.56,764157485.53,0.7832,1
012679.OF,20230120,20221231,0.7995,0.7995,,422803682.76,802627343.42,0.7995,1
012435.OF,20230421,20230331,0.9754,0.9754,,185768028.93,197652890.63,0.9754,1
012435.OF,20230120,20221231,0.9679,0.9679,,204733518.17,217993428.3,0.9679,1
011994.OF,20230422,20230331,0.9392,0.9392,,110712894.8,110712894.8,0.9392,1
011994.OF,20230120,20221231,0.9139,0.9139,,109733973.14,109733973.14,0.9139,1
011267.OF,20230422,20230331,1.0055,1.0055,,147900451.64,199667044.34,1.0055,1
011267.OF,20230120,20221231,0.9968,0.9968,,154411756.8,210870095.19,0.9968,1
013145.OF,20230421,20230331,0.8082,2.1342,,47527230.48,47527230.48,0.8082,1
013145.OF,20230120,20221231,0.7739,2.0999,,47418512.07,47418512.07,0.7739,1
013179.OF,20230421,20230331,0.7048,0.7048,,332435558.7,777599749.08,0.7048,1
