index_code,名称,trade_year,trade_week,trade_date,total_mv,total_earnings,total_earnings_ttm,total_book_value,pe,pb,pe_ttm,ts_code,close,open,high,low,vol,amount
000015.SH,红利指数,2021,2,20210115,998812384.85,159741744.43592146,146262581.39379883,1380620262.0880506,6.252669822637764,0.7234519239485852,6.828898925014783,000015.SH,2584.91,2577.65,2596.62,2540.26,16885870300.0,144927017525.0
000015.SH,红利指数,2021,3,20210122,980494004.26,159742067.06269115,146546695.40027755,1375599253.7272472,6.137982450641526,0.7127759059212252,6.690659257664454,000015.SH,2580.69,2585.95,2623.47,2574.06,15178359900.0,131635852050.0
000015.SH,红利指数,2021,4,20210129,975166837.97,159742021.23545912,147027145.79747516,1375573568.6724908,6.104635652084356,0.7089165277514696,6.632563209199877,000015.SH,2483.5,2570.64,2570.64,2470.4,11980828400.0,101290034383.0
000015.SH,红利指数,2021,5,20210205,993430179.11,159741725.2479322,147026716.96375287,1375605395.4650576,6.218977399725183,0.7221767102579197,6.756800394005361,000015.SH,2490.71,2483.61,2514.29,2457.67,13719630500.0,108515927417.0
000015.SH,红利指数,2021,6,20210210,1008714256.71,159742015.91289133,147026852.78403673,1372031603.2372692,6.314645842832361,0.7351975379648455,6.860748479678537,000015.SH,2535.13,2491.96,2538.23,2485.5,9492504700.0,73111932625.0
000015.SH,红利指数,2021,7,20210219,1023564950.87,159741963.26242846,147027200.0896844,1372033093.6684277,6.40761469288104,0.7460205993525107,6.961738713963407,000015.SH,2661.55,2571.83,2663.14,2571.83,7798274000.0,60811321764.0
000015.SH,红利指数,2021,8,20210226,1026091003.19,159741711.4974226,147027164.93307823,1372051507.7354932,6.423438146313813,0.7478516640264586,6.978921233073098,000015.SH,2629.76,2667.48,2736.49,2624.92,20870796300.0,166677979535.0
000015.SH,红利指数,2021,9,20210305,1046698374.67,159741865.70459342,147046636.35911787,1372038878.483632,6.552436144733859,0.7628780722502585,7.118138847554113,000015.SH,2691.8,2636.29,2745.12,2635.09,18840244500.0,144475243877.0
000015.SH,红利指数,2021,10,20210312,1044804754.79,159779148.59748888,147247802.60915822,1373228064.4920628,6.539055715098612,0.7608384810985188,7.09555413579406,000015.SH,2729.95,2707.99,2735.72,2630.49,17632173700.0,131337578696.0
000015.SH,红利指数,2021,11,20210319,1027784169.25,159778984.7740763,147247099.10102603,1373251848.9116242,6.4325366111398345,0.7484309378972066,6.979996044233365,000015.SH,2725.79,2731.43,2765.53,2709.93,14698476300.0,109217401076.0
000015.SH,红利指数,2021,12,20210326,1022291675.33,159201495.50183728,147345509.41303074,1375517372.2046251,6.421369799997904,0.7432052084456855,6.938057898082044,000015.SH,2718.14,2725.53,2760.47,2670.3,12125670600.0,88606801370.0
000015.SH,红利指数,2021,13,20210402,1033195233.91,155763630.77126774,155387998.62906203,1404529514.373964,6.633096755604029,0.7356166056578187,6.649131483934067,000015.SH,2733.02,2733.36,2770.93,2718.1,13733180100.0,96654141106.0
000015.SH,红利指数,2021,14,20210409,1035034335.54,155763011.7345568,155390923.7196265,1404539984.3737264,6.644930166757764,0.7369205199249018,6.660841642253981,000015.SH,2769.93,2738.1,2783.16,2730.58,8188427200.0,58232013359.0
000015.SH,红利指数,2021,15,20210416,1034917329.79,155736778.91615486,155421633.8041914,1404658991.2865725,6.6452981562382,0.7367747874821103,6.658772684720615,000015.SH,2799.68,2770.3,2801.45,2734.66,10211108800.0,78503738131.0
000015.SH,红利指数,2021,16,20210423,1018017471.48,155809299.2147234,155528979.07045627,1407221549.8104494,6.533740133681322,0.7234237363811871,6.5455163247668935,000015.SH,2793.08,2792.92,2821.04,2775.12,10598688600.0,83044560105.0
000015.SH,红利指数,2021,17,20210430,996465522.9,155867304.73305726,163035053.82231206,1454584700.506452,6.393037491772729,0.685051563207735,6.111971011988769,000015.SH,2761.13,2802.67,2812.82,2750.63,11310459600.0,85487990965.0
000015.SH,红利指数,2021,18,20210507,1015959433.4,155867370.68112063,163034288.91033253,1454598861.8255167,6.518102082304886,0.69844646525089,6.231569077832265,000015.SH,2836.71,2769.51,2858.72,2769.51,5645922200.0,44114669164.0
000015.SH,红利指数,2021,19,20210514,1021207470.67,155867271.24497625,163034253.52109033,1454360950.786677,6.551776152319818,0.702169203675071,6.263760213665131,000015.SH,2820.72,2852.52,2879.7,2805.16,11808816100.0,94192228201.0
000015.SH,红利指数,2021,20,20210521,1003591276.91,155867326.02430004,163034466.04944712,1453977312.28487,6.438753409765546,0.6902386085604696,6.1557000874012635,000015.SH,2779.15,2824.38,2837.43,2747.64,10127008100.0,80193708725.0
000015.SH,红利指数,2021,21,20210528,1023132137.01,155867167.1268584,163034132.22659296,1453920421.064289,6.564128647935745,0.7037057339500422,6.275570170717381,000015.SH,2852.49,2785.39,2873.0,2777.27,12120159200.0,95047175364.0
000015.SH,红利指数,2021,22,20210604,1008748179.4,155867063.19219294,163034278.18863553,1447940158.0044181,6.471849528313472,0.6966780870214127,6.187337967251575,000015.SH,2873.42,2868.98,2924.03,2839.99,14021661800.0,105240287059.0
000015.SH,红利指数,2021,23,20210611,1006669272.9499999,155866739.24045262,163034843.5060103,1447854270.2084928,6.458525262384752,0.695283561103866,6.17456521134937,000015.SH,2880.58,2883.12,2895.67,2844.72,13022027300.0,95469471663.0
000015.SH,红利指数,2021,24,20210618,980440490.02,155867073.95842904,163034913.33049563,1461549734.3105462,6.290234782244588,0.6708225296777199,6.013684247082118,000015.SH,2818.4,2892.73,2893.76,2810.14,10313465200.0,83865371418.0
000015.SH,红利指数,2021,25,20210625,993714052.31,155867242.06518188,163034943.19317734,1464682800.4937503,6.375387407537757,0.678450004311524,6.095098589586191,000015.SH,2941.87,2822.85,2950.43,2804.62,11914180000.0,101591494282.0
000015.SH,红利指数,2021,26,20210702,980057832.31,155866602.34394938,163034678.72388113,1459008813.1441295,6.287798781597327,0.6717285210896009,6.0113458068013,000015.SH,2839.3,2917.22,2919.39,2835.47,11668905500.0,97213693972.0
000015.SH,红利指数,2021,27,20210709,956341044.73,155866965.72082898,163034272.1860864,1448461216.651531,6.135623673093684,0.6602462211178937,5.865889618830805,000015.SH,2798.85,2839.8,2845.27,2762.07,11653671000.0,91222514598.0
